label,filepath
Explosion,Data/Trimmed-Videos/Explosion/Explosion051_x264_0_12.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault010_x264_0_63.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson010_x264_1_0.mp4
Arson,Data/Trimmed-Videos/Arson/Arson051_x264_0_13.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_87.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents024_x264_1_54.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion046_x264_0_89.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents088_x264_2_3.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary100_x264_0_39.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary023_x264_0_108.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery129_x264_0_1.mp4
Arson,Data/Trimmed-Videos/Arson/Arson010_x264_1_5.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents108_x264_1_15.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting038_x264_0_7.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse012_x264_2_6.mp4
RoadAccidents,Data/Trimmed-Videos/RoadAccidents/RoadAccidents097_x264_0_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting047_x264_1_2.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary076_x264_0_109.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion020_x264_0_0.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting004_x264_0_186.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary062_x264_0_13.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary071_x264_0_28.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse039_x264_0_50.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting030_x264_0_5.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion032_x264_0_4.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Burglary095_x264_0_24.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting052_x264_2_18.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary001_x264_0_34.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse040_x264_0_3.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault010_x264_2_11.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting045_x264_0_0.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary029_x264_0_25.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents104_x264_0_49.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse015_x264_0_3.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery054_x264_0_2.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting037_x264_0_5.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary074_x264_0_27.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary023_x264_0_36.mp4
Assault,Data/Trimmed-Videos/Assault/Assault009_x264_0_4.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1476.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse050_x264_2_1.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery015_x264_0_36.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse039_x264_0_22.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion046_x264_0_456.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery025_x264_1_4.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion002_x264_1_10.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery124_x264_0_47.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion030_x264_0_5.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary029_x264_0_16.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_RoadAccidents086_x264_1_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting014_x264_0_30.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion006_x264_0_7.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary076_x264_0_153.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary_1_0_21.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting_5_2_1.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault042_x264_1_87.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Assault008_x264_1_11.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary095_x264_0_213.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Shooting006_x264_1_2.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Fighting018_x264_1_3.mp4
Explosion,Data/Trimmed-Videos/Explosion/Explosion007_x264_0_148.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Arson019_x264_1_1325.mp4
Abuse,Data/Trimmed-Videos/Abuse/Abuse043_x264_0_3.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary_3_0_8.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Robbery125_x264_0_60.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary_6_0_5.mp4
Burglary,Data/Trimmed-Videos/Burglary/Burglary071_x264_0_10.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting039_x264_0_54.mp4
Shooting,Data/Trimmed-Videos/Shooting/Shooting020_x264_0_56.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Abuse033_x264_3_0.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting006_x264_0_4.mp4
Fighting,Data/Trimmed-Videos/Fighting/Fighting004_x264_0_29.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery136_x264_0_7.mp4
Normal,Data/Trimmed-Videos/Normal/Normal_Explosion046_x264_1_630.mp4
Robbery,Data/Trimmed-Videos/Robbery/Robbery053_x264_0_4.mp4
